model_code,feature_code,source_table,source_metric,history_window_size,raw_sample_count,exact_timestamp_match_count,backward_asof_match_count,interior_interpolation_count,leading_boundary_extension_count,trailing_boundary_extension_count,forward_fill_count,backward_fill_count,final_missing_count,max_raw_gap_seconds,median_source_age_seconds,p95_source_age_seconds,max_source_age_seconds,exact_match_ratio,asof_alignment_ratio,non_exact_alignment_ratio,fill_ratio
Pressure,point1_0.8YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0
Pressure,point1_1.8YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0
Pressure,point1_2.8YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0
Pressure,point1_3.8YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0
Pressure,point2_0.6YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,172.0,173.0,173.0,0.0,1.0,1.0,0.0
Pressure,point2_1.6YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,172.0,173.0,173.0,0.0,1.0,1.0,0.0
Pressure,point2_2.6YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,172.0,173.0,173.0,0.0,1.0,1.0,0.0
Pressure,point2_3.6YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,172.0,173.0,173.0,0.0,1.0,1.0,0.0
Pressure,point3_0.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point3_1.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point3_2.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point3_3.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point3_4.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point3_5.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,161.0,162.0,162.0,0.0,1.0,1.0,0.0
Pressure,point4_0.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point4_1.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point4_2.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point4_3.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point4_4.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point4_5.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,150.0,151.0,151.0,0.0,1.0,1.0,0.0
Pressure,point5_0.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point5_1.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point5_2.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point5_3.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point5_4.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point5_5.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,182.0,139.0,140.0,140.0,0.0,1.0,1.0,0.0
Pressure,point6_0.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,126.0,127.0,127.0,0.0,1.0,1.0,0.0
Pressure,point6_1.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,126.0,127.0,127.0,0.0,1.0,1.0,0.0
Pressure,point6_2.5YD_value,em_obs_displacement,displacement_tilt_y_deg,13,13,0,13,0,0,0,0,0,0,181.0,126.0,127.0,127.0,0.0,1.0,1.0,0.0
