workload,variant,block,order,phase,repetition,elapsedMs,httpStatus,resultIntegrityValid,executionEligible,actualPointCount,functionalValid,gateSignature,jvmPid,timestamp
s1,A,1,1,warmup,1,2822.6093,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:42.177593+00:00
s1,A,1,1,warmup,2,2598.687,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:45.000602+00:00
s1,A,1,1,warmup,3,2447.2506,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:47.599563+00:00
s1,A,1,1,measured,1,2345.4312,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:50.047502+00:00
s1,A,1,1,measured,2,2406.1062,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:52.392904+00:00
s1,A,1,1,measured,3,2456.999,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:54.798798+00:00
s1,A,1,1,measured,4,2200.7889,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:57.255921+00:00
s1,A,1,1,measured,5,2183.3141,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:00:59.457051+00:00
s1,A,1,1,measured,6,2364.9381,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:01:01.641220+00:00
s1,A,1,1,measured,7,2189.2911,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45688,2026-08-31T04:01:04.006047+00:00
