operation,phase,repetition,status,elapsedMs,scale,targetCount,startedAt,finishedAt,errorType,error
series-single-target,first,1,completed,329.055,S2,1240,2026-08-30T17:11:38.251645+00:00,2026-08-30T17:11:38.583270+00:00,,
series-single-target,warmup,1,completed,249.2376,S2,1240,2026-08-30T17:11:38.585310+00:00,2026-08-30T17:11:38.835512+00:00,,
series-single-target,warmup,2,completed,301.9975,S2,1240,2026-08-30T17:11:38.837112+00:00,2026-08-30T17:11:39.139856+00:00,,
series-single-target,warmup,3,completed,232.9534,S2,1240,2026-08-30T17:11:39.141857+00:00,2026-08-30T17:11:39.376064+00:00,,
series-single-target,warmup,4,completed,339.9479,S2,1240,2026-08-30T17:11:39.378065+00:00,2026-08-30T17:11:39.719524+00:00,,
series-single-target,warmup,5,completed,236.5614,S2,1240,2026-08-30T17:11:39.720437+00:00,2026-08-30T17:11:39.958812+00:00,,
series-single-target,measured,1,completed,199.855,S2,1240,2026-08-30T17:11:39.960852+00:00,2026-08-30T17:11:40.161971+00:00,,
series-single-target,measured,2,completed,170.8249,S2,1240,2026-08-30T17:11:40.164273+00:00,2026-08-30T17:11:40.336980+00:00,,
series-single-target,measured,3,completed,264.1762,S2,1240,2026-08-30T17:11:40.338982+00:00,2026-08-30T17:11:40.605408+00:00,,
series-single-target,measured,4,completed,207.5314,S2,1240,2026-08-30T17:11:40.606446+00:00,2026-08-30T17:11:40.814797+00:00,,
series-single-target,measured,5,completed,201.8236,S2,1240,2026-08-30T17:11:40.816797+00:00,2026-08-30T17:11:41.019949+00:00,,
series-single-target,measured,6,completed,211.7357,S2,1240,2026-08-30T17:11:41.021950+00:00,2026-08-30T17:11:41.234818+00:00,,
series-single-target,measured,7,completed,188.4743,S2,1240,2026-08-30T17:11:41.235860+00:00,2026-08-30T17:11:41.425489+00:00,,
series-single-target,measured,8,completed,97.0754,S2,1240,2026-08-30T17:11:41.427940+00:00,2026-08-30T17:11:41.526982+00:00,,
