feature_group,training_feature_code,source_field,sensor_no,point_name,point_location,feature_order
water,point1water_value,data1_value,1426001826,1号孔,探头位于11.5m,1
water,point5water_value,data1_value,1426001825,5号孔,探头位于11.5m,2
YD,point10.8YD_value,data1_value,1526002739,1号孔,0.8m,3
XD,point10.8XD_value,data2_value,1526002739,1号孔,0.8m,4
YD,point11.8YD_value,data1_value,1526002740,1号孔,1.8m,5
XD,point11.8XD_value,data2_value,1526002740,1号孔,1.8m,6
YD,point12.8YD_value,data1_value,1526002741,1号孔,2.8m,7
XD,point12.8XD_value,data2_value,1526002741,1号孔,2.8m,8
YD,point13.8YD_value,data1_value,1526002742,1号孔,3.8m,9
XD,point13.8XD_value,data2_value,1526002742,1号孔,3.8m,10
YD,point20.6YD_value,data1_value,1526002735,2号孔,0.6m,11
XD,point20.6XD_value,data2_value,1526002735,2号孔,0.6m,12
YD,point21.6YD_value,data1_value,1526002736,2号孔,1.6m,13
XD,point21.6XD_value,data2_value,1526002736,2号孔,1.6m,14
YD,point22.6YD_value,data1_value,1526002737,2号孔,2.6m,15
XD,point22.6XD_value,data2_value,1526002737,2号孔,2.6m,16
YD,point23.6YD_value,data1_value,1526002738,2号孔,3.6m,17
XD,point23.6XD_value,data2_value,1526002738,2号孔,3.6m,18
YD,point30.5YD_value,data1_value,1526002711,3号孔,0.5m,19
XD,point30.5XD_value,data2_value,1526002711,3号孔,0.5m,20
YD,point31.5YD_value,data1_value,1526002712,3号孔,1.5m,21
XD,point31.5XD_value,data2_value,1526002712,3号孔,1.5m,22
YD,point32.5YD_value,data1_value,1526002713,3号孔,2.5m,23
XD,point32.5XD_value,data2_value,1526002713,3号孔,2.5m,24
YD,point33.5YD_value,data1_value,1526002714,3号孔,3.5m,25
XD,point33.5XD_value,data2_value,1526002714,3号孔,3.5m,26
YD,point34.5YD_value,data1_value,1526002715,3号孔,4.5m,27
XD,point34.5XD_value,data2_value,1526002715,3号孔,4.5m,28
YD,point35.5YD_value,data1_value,1526002716,3号孔,5.5m,29
XD,point35.5XD_value,data2_value,1526002716,3号孔,5.5m,30
YD,point40.5YD_value,data1_value,1526002717,4号孔,0.5m,31
XD,point40.5XD_value,data2_value,1526002717,4号孔,0.5m,32
YD,point41.5YD_value,data1_value,1526002718,4号孔,1.5m,33
XD,point41.5XD_value,data2_value,1526002718,4号孔,1.5m,34
YD,point42.5YD_value,data1_value,1526002719,4号孔,2.5m,35
XD,point42.5XD_value,data2_value,1526002719,4号孔,2.5m,36
YD,point43.5YD_value,data1_value,1526002720,4号孔,3.5m,37
XD,point43.5XD_value,data2_value,1526002720,4号孔,3.5m,38
YD,point44.5YD_value,data1_value,1526002721,4号孔,4.5m,39
XD,point44.5XD_value,data2_value,1526002721,4号孔,4.5m,40
YD,point45.5YD_value,data1_value,1526002722,4号孔,5.5m,41
XD,point45.5XD_value,data2_value,1526002722,4号孔,5.5m,42
YD,point50.5YD_value,data1_value,1526002729,5号孔,0.5m,43
XD,point50.5XD_value,data2_value,1526002729,5号孔,0.5m,44
YD,point51.5YD_value,data1_value,1526002730,5号孔,1.5m,45
XD,point51.5XD_value,data2_value,1526002730,5号孔,1.5m,46
YD,point52.5YD_value,data1_value,1526002731,5号孔,2.5m,47
XD,point52.5XD_value,data2_value,1526002731,5号孔,2.5m,48
YD,point53.5YD_value,data1_value,1526002732,5号孔,3.5m,49
XD,point53.5XD_value,data2_value,1526002732,5号孔,3.5m,50
YD,point54.5YD_value,data1_value,1526002733,5号孔,4.5m,51
XD,point54.5XD_value,data2_value,1526002733,5号孔,4.5m,52
YD,point55.5YD_value,data1_value,1526002734,5号孔,5.5m,53
XD,point55.5XD_value,data2_value,1526002734,5号孔,5.5m,54
YD,point60.5YD_value,data1_value,1526002723,6号孔,0.5m,55
XD,point60.5XD_value,data2_value,1526002723,6号孔,0.5m,56
YD,point61.5YD_value,data1_value,1526002724,6号孔,1.5m,57
XD,point61.5XD_value,data2_value,1526002724,6号孔,1.5m,58
YD,point62.5YD_value,data1_value,1526002725,6号孔,2.5m,59
XD,point62.5XD_value,data2_value,1526002725,6号孔,2.5m,60
YD,point63.5YD_value,data1_value,1526002726,6号孔,3.5m,61
XD,point63.5XD_value,data2_value,1526002726,6号孔,3.5m,62
YD,point64.5YD_value,data1_value,1526002727,6号孔,4.5m,63
